"Name","webname","first_name","last_name","job_title","job_title2","short_job_title","first_last_name","job_title_az"
"HANCOCK, Penelope A (Penny)","p.hancock","Penelope","HANCOCK","Lecturer in Biostatistics / Epidemiology (Non Clinical)",NA,"Dr","penelope hancock",NA
"BLANE, David","d.blane","David","BLANE","Emeritus Professor",NA,"Emeritus Professor","david blane",NA
"HALLETT, Timothy B","timothy.hallett","Timothy","HALLETT","Professor of Global Health",NA,"Professor","timothy hallett","Professor of Global Health"
"CAUCHEMEZ, Simon","s.cauchemez","Simon","CAUCHEMEZ","Visiting Reader",NA,"Dr","simon cauchemez","Visiting Reader"
"RIBOLI, Elio","e.riboli","Elio","RIBOLI","Chair in Cancer Epidemiology and Prevention",NA,"Professor","elio riboli",NA
"RUSHTON, Lesley","l.rushton","Lesley","RUSHTON","Emeritus Reader of Occupational Epidemiology",NA,"Dr","lesley rushton","Emeritus Reader of Occupational Epidemiology"
"DAVIES, Nicolette W","nicolette.davies","Nicolette","DAVIES",NA,NA,NA,"nicolette davies",NA
"TAGHAVI AZAR SHARABIANI, Mansour","mansour.taghavi-azar-sharabiani05","Mansour","TAGHAVI AZAR SHARABIANI",NA,NA,NA,"mansour taghavi azar sharabiani",NA
"TRUSCOTT, James E","j.truscott","James","TRUSCOTT","Honorary Senior Research Fellow",NA,"Dr","james truscott","Honorary Senior Research Fellow"
"BOILY, Marie-Claude","mc.boily","Marie-Claude","BOILY","Professor of Mathematical Epidemiology",NA,"Professor","marie-claude boily","Professor of Mathematical Epidemiology"
"FISHER, Matthew","matthew.fisher","Matthew","FISHER","Professor of Fungal Disease Epidemiology","Professor Matthew Fisher ",NA,"matthew fisher","Professor of Fungal Disease Epidemiology"
"HEARD, Andrew H (Andy)","a.heard","Andrew","HEARD","Database Manager",NA,"Mr","andrew heard",NA
"SAXENA, Sonia","s.saxena","Sonia","SAXENA","Professor of Primary Care",NA,"Professor","sonia saxena",NA
"BLANGIARDO, Marta A G","m.blangiardo","Marta","BLANGIARDO","Chair in Biostatistics",NA,"Professor","marta blangiardo","Chair in Biostatistics"
"MAINI, Arti","a.maini","Arti","MAINI","Director of Undergraduate Primary Care Education",NA,"Dr","arti maini","Director of Undergraduate Primary Care Education"
"WALLEY, Andrew J","a.walley","Andrew","WALLEY",NA,NA,NA,"andrew walley",NA
"DABY, Hridayanayaki I (Hima)","h.daby","Hridayanayaki","DABY","Data and Information Services Manager","Mrs Hridayanayaki Hima Daby",NA,"hridayanayaki daby",NA
"WHITE, Peter J","p.white","Peter","WHITE","Professor of Public Health Modelling",NA,"Professor","peter white","Professor of Public Health Modelling"
"KALUARACHCHI SODEN, Manuja R","manuja.kaluarachchi","Manuja","KALUARACHCHI SODEN",NA,NA,NA,"manuja kaluarachchi soden",NA
"GNANI, Shamini","s.gnani","Shamini","GNANI","Senior Clinical Teaching Fellow",NA,"Dr","shamini gnani","Senior Clinical Teaching Fellow"
"FENWICK, Alan","a.fenwick","Alan","FENWICK","Emeritus Professor","Professor Alan Fenwick OBE",NA,"alan fenwick",NA
"MURRAY-THOMAS, Tarita","t.murray-thomas","Tarita","MURRAY-THOMAS",NA,NA,NA,"tarita murray-thomas",NA
"FROGUEL, Philippe","p.froguel","Philippe","FROGUEL","Chair in Genomic Medicine",NA,"Professor","philippe froguel",NA
"WEBSTER, Joanne P","joanne.webster","Joanne","WEBSTER","Visiting Professor","Joanne P. Webster",NA,"joanne webster",NA
"UTHAYA, Sabita N","s.uthaya","Sabita","UTHAYA","Honorary Clinical Senior Lecturer","Dr Sabita Uthaya",NA,"sabita uthaya","Honorary Clinical Senior Lecturer"
"FECHT, Daniela","d.fecht","Daniela","FECHT","Senior Lecturer",NA,"Dr","daniela fecht","Senior Lecturer"
"SAMARASUNDERA, Edgar","e.samarasundera","Edgar","SAMARASUNDERA","Honorary Research Officer",NA,"Mr","edgar samarasundera","Honorary Research Officer"
"AANENSEN, David","d.aanensen","David","AANENSEN","Visiting Professor",NA,"Dr","david aanensen","Visiting Professor"
"ELIAHOO, Joseph","j.eliahoo","Joseph","ELIAHOO","Statistical Consultant",NA,"Mr","joseph eliahoo",NA
"OGUNDIPE, Enitan","e.ogundipe","Enitan","OGUNDIPE",NA,NA,NA,"enitan ogundipe","Honorary Clinical Senior Lecturer"
"DRAKE, Lesley","lesley.drake","Lesley","DRAKE","Exec Director - Partnership for Child Development",NA,"Dr","lesley drake","Exec Director - Partnership for Child Development"
"GRASSLY, Nicholas C","n.grassly","Nicholas","GRASSLY","Prof of Infectious Disease & Vaccine Epidemiology",NA,"Professor","nicholas grassly","Prof of Infectious Disease & Vaccine Epidemiology"
"BROWN, Ian J","ian.j.brown","Ian","BROWN",NA,NA,NA,"ian brown",NA
"CAR, Josip","josip.car","Josip","CAR","Reader in Primary Care and eHealth",NA,"Dr","josip car","Reader in Primary Care and eHealth"
"WILLIAMS, John R","jr.williams","John","WILLIAMS",NA,NA,NA,"john williams","Visiting Researcher"
"MILLER, Marie L E","m.miller","Marie","MILLER","Public Involvement Coordinator",NA,"Mrs","marie miller","Public Involvement Coordinator"
"HOLLINGSWORTH, Teresa D (Deirdre)","d.hollingsworth","Teresa","HOLLINGSWORTH","Honorary Lecturer","Professor Deirdre Hollingsworth",NA,"teresa hollingsworth",NA
"MAJEED, Farrukh A (Azeem)","a.majeed","Farrukh","MAJEED","Chair - Primary Care and Public Health & Head of Department","PROFESSOR AZEEM MAJEED",NA,"farrukh majeed",NA
"SASIKARAN, Thiagarajah","t.sasikaran","Thiagarajah","SASIKARAN","Deputy Operations Manager",NA,"Dr","thiagarajah sasikaran","Deputy Operations Manager"
"VINEIS, Paolo","p.vineis","Paolo","VINEIS","Chair in Environmental Epidemiology",NA,"Professor","paolo vineis","Chair in Environmental Epidemiology"
"GREGSON, Simon","s.gregson","Simon","GREGSON","Professor in Demography and Behavioural Science",NA,"Professor","simon gregson","Professor in Demography and Behavioural Science"
"RILEY, Steven","s.riley","Steven","RILEY","Professor of Infectious Disease Dynamics","Steven Riley",NA,"steven riley","Professor of Infectious Disease Dynamics"
"HANSELL, Anna L","a.hansell","Anna","HANSELL","Visiting Professor",NA,"Professor","anna hansell","Visiting Professor"
"BASANEZ, Maria-Gloria","m.basanez","Maria-Gloria","BASANEZ","Professor of Neglected Tropical Diseases",NA,"Professor","maria-gloria basanez","Professor of Neglected Tropical Diseases"
"BOTTLE, Robert A (Alex)","robert.bottle","Robert","BOTTLE","Professor of Medical Statistics","Alex Bottle",NA,"robert bottle",NA
"FRASER, Christophe","c.fraser","Christophe","FRASER","Visiting Professor",NA,"Professor","christophe fraser","Visiting Professor"
"DE WOLF, Frank","f.dewolf","Frank","DE WOLF","Chair in Clinical Retrovirology",NA,"Professor","frank de wolf",NA
"BLAIR, Mitchel E (Mitch)","m.blair","Mitchel","BLAIR","Professor of Paediatrics & Child Public Health","Professor Mitch Blair",NA,"mitchel blair",NA
"JARVELIN, Marjo-Riitta","m.jarvelin","Marjo-Riitta","JARVELIN","Chair in Lifecourse Epidemiology",NA,"Professor","marjo-riitta jarvelin","Chair in Lifecourse Epidemiology"
"TZALA, Evangelia","e.tzala","Evangelia","TZALA",NA,NA,NA,"evangelia tzala","Honorary Senior Research Fellow"
"TOLEDANO, Mireille B","m.toledano","Mireille","TOLEDANO","Mohn Chair; Population Child Health & Director-Mohn Centre","Professor Mireille B Toledano",NA,"mireille toledano","Mohn Chair; Population Child Health & Director-Mohn Centre"
"MODI, Neena","n.modi","Neena","MODI","Vice-Dean (International Activities) Faculty of Medicine",NA,"Professor","neena modi","Vice-Dean (International Activities) Faculty of Medicine"
"FERGUSON, Neil M","neil.ferguson","Neil","FERGUSON","Vice-Dean (Academic Development)","Professor Neil Ferguson",NA,"neil ferguson","Vice-Dean (Academic Development)"
"DONNELLY, Christl A","c.donnelly","Christl","DONNELLY","Visiting Professor","Professor Christl Donnelly CBE FMedSci FRS",NA,"christl donnelly",NA
"BALDING, David J","d.balding","David","BALDING",NA,NA,NA,"david balding",NA
"RICHARDSON, Sylvia","sylvia.richardson","Sylvia","RICHARDSON","Visiting Professor",NA,"Professor","sylvia richardson","Visiting Professor"
"CHAN, Queenie","q.chan","Queenie","CHAN","Honorary Senior Research Fellow",NA,"Dr","queenie chan","Honorary Senior Research Fellow"
"SPRATT, Brian G","b.spratt","Brian","SPRATT","Emeritus Professor","Professor Brian G Spratt FRS",NA,"brian spratt",NA
"CHAMBERS, John C","john.chambers","John","CHAMBERS","Professor of Cardiovascular Epidemiology",NA,"Professor","john chambers","Professor of Cardiovascular Epidemiology"
"COWAN, Frances M","f.cowan","Frances","COWAN",NA,NA,NA,"frances cowan","Honorary Senior Lecturer"
"JOFFE, Michael","m.joffe","Michael","JOFFE","Emeritus Reader",NA,"Dr","michael joffe","Emeritus Reader"
"ELLIOTT, Paul","p.elliott","Paul","ELLIOTT","Chair in Epidemiology and Public Health Medicine",NA,"Professor","paul elliott",NA
"WELLS, Jennifer A","j.a.wells","Jennifer","WELLS",NA,NA,NA,"jennifer wells","Personal Assistant to Head of Department"
"BENNETT, James E","umahx99","James","BENNETT","Statistical Manager",NA,"Dr","james bennett","Statistical Manager"
"DAY, Sophie","s.day","Sophie","DAY","Principal Research Fellow",NA,"Professor","sophie day","Principal Research Fellow"
"JARMAN, Brian","b.jarman","Brian","JARMAN","Emeritus Professor",NA,"Emeritus Professor","brian jarman",NA
"PETERS, Ruth","r.peters","Ruth","PETERS","Honorary Research Fellow",NA,"Dr","ruth peters","Honorary Research Fellow"
"AYLIN, Paul P","p.aylin","Paul","AYLIN","Professor of Epidemiology and Public Health",NA,"Professor","paul aylin","Professor of Epidemiology and Public Health"
"POULTER, Neil R","n.poulter","Neil","POULTER","Professor of Preventive Cardiovascular Medicine.","Professor Neil Poulter",NA,"neil poulter","Professor of Preventive Cardiovascular Medicine."
"DE ZULUETA, Paquita C","p.dezulueta","Paquita","DE ZULUETA",NA,NA,NA,"paquita de zulueta",NA
"MUIR, Elizabeth H","e.muir","Elizabeth","MUIR","Clinical Senior Lecturer",NA,"Dr","elizabeth muir","Clinical Senior Lecturer"
"WARD, Helen","h.ward","Helen","WARD","Professor of Public Health",NA,"Professor","helen ward","Professor of Public Health"
"ANDERSON, Roy M","roy.anderson","Roy","ANDERSON","Professor in Infectious Disease Epidemiology","Professor Sir Roy Anderson FRS, FMedSci",NA,"roy anderson",NA
"GILLON, Raanan","raanan.gillon","Raanan","GILLON","Emeritus Professor of Medical Ethics",NA,"Emeritus Professor","raanan gillon",NA
"STIMSON, Gerald V (Gerry)","g.stimson","Gerald","STIMSON",NA,NA,NA,"gerald stimson",NA
"O'HANLON, Simon J","simon.ohanlon","Simon","O'HANLON",NA,NA,NA,"simon o'hanlon",NA
"NEWSON, Roger B","r.newson","Roger","NEWSON","Honorary Research Associate",NA,"Dr","roger newson","Honorary Research Associate"
"BELL, Derek","d.bell","Derek","BELL","Emeritus Professor in Acute Medicine",NA,"Emeritus Professor","derek bell",NA
"CHURCHER, Thomas S","thomas.churcher","Thomas","CHURCHER","Professor of Infectious Disease Dynamics",NA,"Professor","thomas churcher","Professor of Infectious Disease Dynamics"
"HINSLEY, Westley R (Wes)","w.hinsley","Westley","HINSLEY","GIS/Database/HPTC Analyst Tech Support","DR WES HINSLEY",NA,"westley hinsley",NA
"CURCIN, Vasa","vasa.curcin","Vasa","CURCIN","Honorary Lecturer",NA,"Dr","vasa curcin","Honorary Lecturer"
"SMITH, Jennifer A","jennifer.smith","Jennifer","SMITH","Honorary Research Fellow",NA,"Dr","jennifer smith","Honorary Research Fellow"
"BLAKE, Isobel M","isobel.blake","Isobel","BLAKE","Lecturer",NA,"Dr","isobel blake","Lecturer"
"SMITH, Rachel B","rachel.smith05","Rachel","SMITH","Research Fellow in Population Child Health",NA,"Dr","rachel smith","Research Fellow in Population Child Health"
"NORAT, Teresa","t.norat","Teresa","NORAT","Academic Visitor",NA,"Dr","teresa norat","Academic Visitor"
"PICKLES, Michael R EH","m.pickles","Michael","PICKLES","Research Fellow",NA,"Dr","michael pickles","Research Fellow"
"TZOULAKI, Ioanna","i.tzoulaki","Ioanna","TZOULAKI","Professor of Chronic Disease Epidemiology","Dr Ioanna (Joanna) Tzoulaki",NA,"ioanna tzoulaki","Professor of Chronic Disease Epidemiology"
"LAMBERTON, Poppy H L","poppy.lamberton","Poppy","LAMBERTON","Honorary Senior Lecturer",NA,"Dr","poppy lamberton","Honorary Senior Lecturer"
"NYAMUKAPA, Constance","c.nyamukapa03","Constance","NYAMUKAPA",NA,NA,NA,"constance nyamukapa","Research Associate"
"WALKER, Martin","m.walker06","Martin","WALKER","Honorary Senior Lecturer",NA,"Dr","martin walker","Honorary Senior Lecturer"
"PILLAS, Demetris","d.pillas06","Demetris","PILLAS",NA,NA,NA,"demetris pillas","Honorary Research Associate"
"ASTLE, William J","william.astle","William","ASTLE","Casual - Academic Professional",NA,"Dr","william astle","Casual - Academic Professional"
"PHILLIPS, Anna E","a.phillips05","Anna","PHILLIPS","Honorary Senior Lecturer",NA,"Dr","anna phillips","Honorary Senior Lecturer"
"DAVIES, Bethan","bethan.davies06","Bethan","DAVIES","Clinical Senior Lecturer in Epidemiology",NA,"Dr","bethan davies","Clinical Senior Lecturer in Epidemiology"
"MILLETT, Christopher J","c.millett","Christopher","MILLETT","Professor of Public Health",NA,"Professor","christopher millett","Professor of Public Health"
"NEWTH, Aisha","a.newth","Aisha","NEWTH","Honorary Clinical Senior Lecturer","Dr Aisha Newth",NA,"aisha newth","Honorary Clinical Senior Lecturer"
"CHADEAU, Marc","m.chadeau","Marc","CHADEAU","Professor of Computational Epidemiology and Biostatistics","Prof Marc Chadeau-Hyam",NA,"marc chadeau","Professor of Computational Epidemiology and Biostatistics"
"GARSKE, Tina (Tini)","t.garske","Tina","GARSKE","Senior Lecturer","Dr Tini Garske",NA,"tina garske",NA
"PRECHTL, Christina","c.prechtl","Christina","PRECHTL","Operations Manager - Clinical Research",NA,"Dr","christina prechtl","Operations Manager - Clinical Research"
"MIDDLETON, Lefkos T","l.middleton","Lefkos","MIDDLETON","Chair in Clinical Neurology","Chair in Neurology, Neuroepidemiology and Ageing ",NA,"lefkos middleton",NA
"CASE, Kelsey","k.case","Kelsey","CASE","Honorary Research Fellow","Dr Kelsey Case",NA,"kelsey case","Honorary Research Fellow"
"LOGAN, Karen M","k.logan","Karen","LOGAN",NA,NA,NA,"karen logan","Honorary Research Associate"
"LAU, Chung Ho (Chungho)","chungho.lau","Chung","LAU","Research Associate",NA,"Dr","chung lau",NA
"CHAN, Doris S M","d.chan","Doris","CHAN","Research Fellow in Nutrition","Dr Doris SM Chan",NA,"doris chan","Research Fellow in Nutrition"
"KIRU, Gayithri (Gaia)","g.kiru","Gayithri","KIRU","Head of Operations and Partnerships","Dr Gaia Kiru",NA,"gayithri kiru",NA
"ASARIA, Perviz","p.asaria","Perviz","ASARIA","Consultant Cardiologist",NA,"Dr","perviz asaria","Consultant Cardiologist"
"GHANI, Azra C H","a.ghani","Azra","GHANI","Chair in Infectious Disease Epidemiology",NA,"Professor","azra ghani","Chair in Infectious Disease Epidemiology"
"FORTUNATO, Lea","l.fortunato","Lea","FORTUNATO",NA,NA,NA,"lea fortunato",NA
"KONTIS, Vasilis","v.kontis","Vasilis","KONTIS","Honorary Research Associate","Vasilis Kontis",NA,"vasilis kontis","Honorary Research Associate"
"SOLJAK, Michael A","m.soljak","Michael","SOLJAK","Honorary Clinical Research Fellow",NA,"Dr","michael soljak","Honorary Clinical Research Fellow"
"LAZZARINO, Antonio I","a.lazzarino","Antonio","LAZZARINO","Research Fellow",NA,"Dr","antonio lazzarino","Research Fellow"
"ZHANG, Weihua","weihua.zhang","Weihua","ZHANG","Honorary Research Associate",NA,"Dr","weihua zhang",NA
"BORQUEZ, Annick B","annick.borquez06","Annick","BORQUEZ","Honorary Research Associate",NA,"Dr","annick borquez","Honorary Research Associate"
"WALKER, Patrick G T","patrick.walker06","Patrick","WALKER","Senior Lecturer",NA,"Dr","patrick walker","Senior Lecturer"
"BAGGALEY, Rebecca F","r.baggaley","Rebecca","BAGGALEY","Honorary Research Fellow",NA,"Dr","rebecca baggaley","Honorary Research Fellow"
"WOODCOCK, Thomas","thomas.woodcock99","Thomas","WOODCOCK","Senior Research Fellow","Dr Thomas Woodcock",NA,"thomas woodcock","Senior Research Fellow"
"WARK, Petra","p.wark","Petra","WARK","Honorary Senior Lecturer in eHealth",NA,"Dr","petra wark","Honorary Senior Lecturer in eHealth"
"MILLWOOD, Iona","i.millwood","Iona","MILLWOOD",NA,NA,NA,"iona millwood",NA
"VAN KERKHOVE, Maria","m.vankerkhove","Maria","VAN KERKHOVE","Honorary Lecturer","Dr Maria D Van Kerkhove",NA,"maria van kerkhove",NA
"RAI, Tanvi","tanvi.rai07","Tanvi","RAI","Visiting Researcher","Dr Tanvi Rai",NA,"tanvi rai","Visiting Researcher"
"EATON, Jeffrey W","jeffrey.eaton","Jeffrey","EATON","Senior Research Fellow","Jeff Eaton",NA,"jeffrey eaton","Senior Research Fellow"
"EXPERT, Paul","paul.expert08","Paul","EXPERT","Honorary Research Associate",NA,"Dr","paul expert","Honorary Research Associate"
"ASHBY, Deborah","deborah.ashby","Deborah","ASHBY","Director of the School of Public Health",NA,"Professor","deborah ashby","Director of the School of Public Health"
"RAWAF, Salman","s.rawaf","Salman","RAWAF","Director of WHO Collaborating Centre",NA,"Professor","salman rawaf","Director of WHO Collaborating Centre"
"RODRIGUEZ, Alina C","a.rodriguez","Alina","RODRIGUEZ","Visiting Professor","Professor Alina Rodriguez, CPsychol",NA,"alina rodriguez","Visiting Professor"
"OKELL, Lucy","l.okell","Lucy","OKELL","Senior Lecturer & Royal Society Dorothy Hodgkin Fellow",NA,"Dr","lucy okell","Senior Lecturer & Royal Society Dorothy Hodgkin Fellow"
"JOMBART, Thibaut","t.jombart","Thibaut","JOMBART","Senior Lecturer",NA,"Dr","thibaut jombart","Senior Lecturer"
"CROSS, Mary","m.cross","Mary","CROSS","Operations Manager",NA,"Mrs","mary cross","Operations Manager"
"MYRON, Rowan","r.myron","Rowan","MYRON","Honorary Research Associate",NA,"Dr","rowan myron","Honorary Research Associate"
"GAJRIA, Mona C (Camille)","c.gajria","Mona","GAJRIA","Clinical Teaching Fellow in Primary Care",NA,"Dr","mona gajria",NA
"DUBOIS, Elizabeth A","e.dubois","Elizabeth","DUBOIS","Research Associate",NA,"Dr","elizabeth dubois",NA
"KAAKINEN, Marika A","m.kaakinen","Marika","KAAKINEN","Visiting Researcher","Dr Marika Kaakinen",NA,"marika kaakinen","Visiting Researcher"
"BABALIS, Daphne S","d.babalis09","Daphne","BABALIS","Director of Operations, Imperial Clinical Trials Unit ","Dr Daphne Babalis",NA,"daphne babalis","Director of Operations, Imperial Clinical Trials Unit"
"VAMOS, Eszter P","e.vamos","Eszter","VAMOS","Clinical Senior Lecturer",NA,"Dr","eszter vamos","Clinical Senior Lecturer"
"GREAVES, Felix E C","felix.greaves08","Felix","GREAVES","Clinical Senior Lecturer",NA,"Dr","felix greaves","Clinical Senior Lecturer"
"SATHYAMOORTHY, Ganesh","g.sathyamoorthy","Ganesh","SATHYAMOORTHY","Honorary Research Associate",NA,"Mr","ganesh sathyamoorthy","Honorary Research Associate"
"GALE, Christopher R K (Chris)","christopher.gale","Christopher","GALE","Professor of Neonatal Medicine","Dr Chris Gale",NA,"christopher gale",NA
"MURPHY, Neil","neil.murphy","Neil","MURPHY","Honorary Senior Research Fellow",NA,"Dr","neil murphy","Honorary Senior Research Fellow"
"BARRERA VERGARA, Lena I","l.barrera-vergara08","Lena","BARRERA VERGARA",NA,NA,NA,"lena barrera vergara",NA
"TAVITIAN-EXLEY, Isabel","i.tavitianexley09","Isabel","TAVITIAN-EXLEY",NA,NA,NA,"isabel tavitian-exley",NA
"HALDER, Julia","j.halder09","Julia","HALDER","Honorary Research Associate",NA,"Dr","julia halder","Honorary Research Associate"
"RONN, Minttu M","minttu.ronn08","Minttu","RONN","Honorary Research Associate",NA,"Dr","minttu ronn","Honorary Research Associate"
"MARTINEZ BIARGE, Miriam","miriam.mbiarge","Miriam","MARTINEZ BIARGE",NA,NA,NA,"miriam martinez biarge",NA
"LAVERTY, Anthony A","a.laverty","Anthony","LAVERTY","Senior Lecturer","Dr Anthony Laverty",NA,"anthony laverty","Senior Lecturer"
"LEE, Ta Yu (John)","t.lee","Ta","LEE",NA,NA,NA,"ta lee",NA
"KLIMOWSKA-NASSAR, Natalia M B","n.klimowska","Natalia","KLIMOWSKA-NASSAR","Operations Manager - Clinical Research","Mrs Natalia Klimowska-Nassar",NA,"natalia klimowska-nassar","Operations Manager - Clinical Research"
"JEWELL, Britta","b.jewell","Britta","JEWELL","Visiting Researcher",NA,"Dr","britta jewell","Visiting Researcher"
"AUNE, Dagfinn","d.aune","Dagfinn","AUNE","Research Associate",NA,"Dr","dagfinn aune","Research Associate"
"DORIGATTI, Ilaria","i.dorigatti","Ilaria","DORIGATTI","Senior Lecturer",NA,"Dr","ilaria dorigatti","Senior Lecturer"
"HOFER, Stuart A","stuart.green","Stuart","HOFER","Project Evaluation Manager",NA,"Dr","stuart hofer","Project Evaluation Manager"
"HASTIE, David I","d.hastie","David","HASTIE",NA,NA,NA,"david hastie",NA
"CONTEH, Lesong","l.conteh","Lesong","CONTEH","Visiting Reader",NA,"Dr","lesong conteh","Visiting Reader"
"PIRANI, Monica","monica.pirani","Monica","PIRANI","Lecturer in Biostatistics",NA,"Dr","monica pirani","Lecturer in Biostatistics"
"HAUCK, Katharina D","k.hauck","Katharina","HAUCK","Professor in Health Economics",NA,"Professor","katharina hauck","Professor in Health Economics"
"ANJUM, Aisha","a.anjum","Aisha","ANJUM",NA,NA,NA,"aisha anjum",NA
"TURNER, Hugo C","hugo.turner","Hugo","TURNER","Lecturer",NA,"Dr","hugo turner","Lecturer"
"LAYDON, Daniel","d.laydon","Daniel","LAYDON","Research Associate","Dr Daniel Laydon",NA,"daniel laydon","Research Associate"
"SALEEM KHAN, Muhammad","m.saleemk","Muhammad","SALEEM KHAN",NA,NA,NA,"muhammad saleem khan",NA
"ALJURAIBAN, Ghadeer S","g.aljuraiban10","Ghadeer","ALJURAIBAN",NA,NA,NA,"ghadeer aljuraiban","Honorary Research Associate"
"SMIT, Mikaela","mikaela.smit","Mikaela","SMIT","Honorary Research Fellow","Dr Mikaela Smit",NA,"mikaela smit","Honorary Research Fellow"
"NEAL, Bruce C","b.neal","Bruce","NEAL",NA,NA,NA,"bruce neal","Professor of Clinical Epidemiology"
"CORI, Anne","a.cori","Anne","CORI","Senior Lecturer in Infectious Disease Modelling",NA,"Dr","anne cori","Senior Lecturer in Infectious Disease Modelling"
"EZZATI, Majid","majid.ezzati","Majid","EZZATI","Chair in Global Environmental Health",NA,"Professor","majid ezzati","Chair in Global Environmental Health"
"WINSKILL, Peter","p.winskill","Peter","WINSKILL","Research Fellow",NA,"Dr","peter winskill","Research Fellow"
"HARRIS, Matthew J","m.harris","Matthew","HARRIS","Clinical Senior Lecturer in Public Health",NA,"Dr","matthew harris","Clinical Senior Lecturer in Public Health"
"TUDOR CAR, Lorainne","l.tudor.car","Lorainne","TUDOR CAR","Honorary Senior Research Fellow",NA,"Dr","lorainne tudor car",NA
"MANGAL, Tara D","t.mangal","Tara","MANGAL","Research Fellow",NA,"Dr","tara mangal","Research Fellow"
"CORONINI-CRONBERG, Sophie","s.coronini-cronberg","Sophie","CORONINI-CRONBERG","Honorary Senior Lecturer","Dr Sophie Coronini-Cronberg",NA,"sophie coronini-cronberg",NA
"VIEIRA, Ana R (Rita)","a.vieira","Ana","VIEIRA",NA,NA,NA,"ana vieira",NA
"PAPAGEORGIOU, Georgios","g.papageorgiou","Georgios","PAPAGEORGIOU",NA,NA,NA,"georgios papageorgiou",NA
"NAVARRO ROSENBLATT, Deborah A","d.navarro-rosenblatt","Deborah","NAVARRO ROSENBLATT",NA,NA,NA,"deborah navarro rosenblatt",NA
"BATTERSBY, Cheryl W S","c.battersby","Cheryl","BATTERSBY","Clinical Senior Lecturer in Neonatal Medicine",NA,"Dr","cheryl battersby","Clinical Senior Lecturer in Neonatal Medicine"
"HURLEY, Michael J","m.hurley","Michael","HURLEY",NA,NA,NA,"michael hurley","Visiting Researcher"
"SUEL, Esra","esra.suel","Esra","SUEL","Honorary Research Fellow","Esra Suel",NA,"esra suel","Honorary Research Fellow"
"SILVA, Ninha","ninha.silva","Ninha","SILVA",NA,NA,NA,"ninha silva","Administrator"
"CHEKE, Robert A","r.cheke","Robert","CHEKE",NA,NA,NA,"robert cheke","Visiting Professor"
"BRAVERY, Amanda J","a.bravery","Amanda","BRAVERY","Head of ICT - ICTU",NA,"Mrs","amanda bravery","Head of ICT - ICTU"
"SULLIVAN, Paul J","p.sullivan","Paul","SULLIVAN",NA,NA,NA,"paul sullivan","Honorary Senior Lecturer"
"WARD, Heather A","heather.ward","Heather","WARD","Honorary Research Fellow","Heather Ward",NA,"heather ward","Honorary Research Fellow"
"DI CESARE, Mariachiara","m.di-cesare","Mariachiara","DI CESARE","Honorary Research Fellow",NA,"Dr","mariachiara di cesare",NA
"FALASCHETTI, Emanuela","e.falaschetti","Emanuela","FALASCHETTI","Deputy Head of Statistics",NA,"Ms","emanuela falaschetti","Deputy Head of Statistics"
"GREENFIELD, Geva","g.greenfield","Geva","GREENFIELD","Research Fellow in Public Health",NA,"Dr","geva greenfield","Research Fellow in Public Health"
"GUNTER, Marc J","m.gunter","Marc","GUNTER","Chair in Cancer Epidemiology",NA,"Professor","marc gunter","Chair in Cancer Epidemiology"
"BLOCK, Martin L","m.block","Martin","BLOCK","Honorary Senior Lecturer",NA,"Dr","martin block","Honorary Senior Lecturer"
"SHAW, Alexander G","a.shaw","Alexander","SHAW","Research Fellow","DR ALEX SHAW",NA,"alexander shaw","Research Fellow"
"WADDINGHAM, Edward A J (Ed)","e.waddingham","Edward","WADDINGHAM",NA,NA,NA,"edward waddingham",NA
"SALMAN, David","d.salman11","David","SALMAN","Imperial Post-Doctoral, Post-CCT Research Fellow (IPPRF)",NA,"Dr","david salman","Imperial Post-Doctoral, Post-CCT Research Fellow (IPPRF)"
"TILNEY, Myra","m.tilney11","Myra","TILNEY",NA,NA,NA,"myra tilney",NA
"ATCHISON, Christina J","christina.atchison11","Christina","ATCHISON","Principal Clinical Academic Fellow",NA,"Dr","christina atchison","Principal Clinical Academic Fellow"
"PINDER, Richard J","richard.pinder","Richard","PINDER","Director of Undergraduate Public Health Education","Dr Richard J Pinder",NA,"richard pinder","Director of Undergraduate Public Health Education"
"MCKAY, Ailsa J","ailsa.mckay08","Ailsa","MCKAY",NA,NA,NA,"ailsa mckay","Honorary Clinical Research Fellow"
"SHARPE, Carolyn A","carolyn.sharpe15","Carolyn","SHARPE",NA,NA,NA,"carolyn sharpe",NA
"PRIOR, Emily L","emily.prior05","Emily","PRIOR",NA,NA,NA,"emily prior","Clinical Research Fellow"
"BIXBY, Honor R H","honor.bixby08","Honor","BIXBY",NA,NA,NA,"honor bixby","Honorary Research Associate"
"KWUN, Min J","min.kwun08","Min","KWUN","Research Associate","Dr Min Jung Kwun",NA,"min kwun","Research Associate"
"RAHMAN, Shati S","shati.rahman09","Shati","RAHMAN",NA,NA,NA,"shati rahman",NA
"KOONER, Angad S","angad.kooner10","Angad","KOONER",NA,NA,NA,"angad kooner","Clinical Research Fellow"
"KOLBEINSSON, Arinbjorn","arinbjorn.kolbeinsson11","Arinbjorn","KOLBEINSSON","Honorary Research Associate","Dr Arinbjörn Kolbeinsson",NA,"arinbjorn kolbeinsson","Honorary Research Associate"
"CHARLES, Giovanni D","giovanni.charles10","Giovanni","CHARLES","Senior Research Software Engineer",NA,"Mr","giovanni charles","Senior Research Software Engineer"
