"Name","webname","first_name","last_name","job_title","job_title2","short_job_title","first_last_name","job_title_az"
"HE, Zhangyi","z.he","Zhangyi","HE",NA,NA,NA,"zhangyi he","Visiting Researcher"
"LU, Xi","xi.lu","Xi","LU","Research Associate",NA,"Dr","xi lu","Research Associate"
"HICKS, William A","w.hicks","William","HICKS","Casual - Academic Research","Dr William Hicks",NA,"william hicks","Casual - Academic Research"
"LIM, Shanon","s.lim","Shanon","LIM","Honorary Research Associate",NA,"Dr","shanon lim","Honorary Research Associate"
"ZHANG, Hanbin","h.zhang","Hanbin","ZHANG","Early Career Research Fellow",NA,"Dr","hanbin zhang",NA
"NG, Keng Tiong","keng_tiong.ng","Keng","NG","Research Associate","Dr Keng Tiong (Kelvin) Ng",NA,"keng ng","Research Associate"
"VU, Tuan V","tuan.vu","Tuan","VU","Senior Air Quality Scientist","Dr Tuan Vu",NA,"tuan vu","Senior Air Quality Scientist"
"OLIETE, Ana","a.oliete","Ana","OLIETE","Research Associate","Dr Ana Oliete",NA,"ana oliete","Research Associate"
"TREMPER, Anja H","anja.tremper","Anja","TREMPER","Research Fellow","Dr Anja Tremper",NA,"anja tremper","Research Fellow"
"BOS, Brendan","brendan.bos","Brendan","BOS","Research Postgraduate",NA,"Mr","brendan bos",NA
"WOOD, Dylan C T","dylan.wood","Dylan","WOOD","Research Associate",NA,"Dr","dylan wood","Research Associate"
"LEVERMORE, Joseph M","j.levermore","Joseph","LEVERMORE","Research Associate","Dr Joseph Levermore",NA,"joseph levermore","Research Associate"
"STEWART, Gregor","g.stewart","Gregor","STEWART","Senior Air Quality Scientist","Dr Gregor Stewart",NA,"gregor stewart","Senior Air Quality Scientist"
"DESOUZA, Carl","carl.desouza","Carl","DESOUZA","Research Associate",NA,"Dr","carl desouza","Research Associate"
"EVANGELOPOULOS, Dimitris","d.evangelopoulos","Dimitris","EVANGELOPOULOS","Research Fellow",NA,"Dr","dimitris evangelopoulos","Research Fellow"
"ARAGHI, Marzieh","m.araghi","Marzieh","ARAGHI",NA,NA,NA,"marzieh araghi","Honorary Research Associate"
"WOODWARD, Mark","m.woodward","Mark","WOODWARD","Chair of Statistics, Epidemiology and Women's Health",NA,"Professor","mark woodward",NA
"CHAMBERLAIN, Rosemary C","r.chamberlain20","Rosemary","CHAMBERLAIN",NA,NA,NA,"rosemary chamberlain",NA
"TANG, David C S","david.tang20","David","TANG",NA,NA,NA,"david tang","Research Assistant in Computational Epidemiology"
"CIOFANI, Jonathan","jonathan.ciofani20","Jonathan","CIOFANI",NA,NA,NA,"jonathan ciofani",NA
"POWELL, Richard A","r.powell","Richard","POWELL","Project/Evaluation Manager","Mr Richard Powell",NA,"richard powell","Project/Evaluation Manager"
"RODGERS, Anthony","a.rodgers","Anthony","RODGERS",NA,NA,NA,"anthony rodgers","Chair of Clinical Epidemiology"
"NORTON, Robyn N","r.norton","Robyn","NORTON",NA,NA,NA,"robyn norton","Chair of Global Health"
"PETERS, Sanne A E","sanne.peters","Sanne","PETERS",NA,NA,NA,"sanne peters","Senior Lecturer"
"FINFER, Simon","s.finfer","Simon","FINFER",NA,NA,NA,"simon finfer","Chair of Critical Care Medicine"
"MACMAHON, Stephen W","s.macmahon","Stephen","MACMAHON","Chair of Global Health",NA,"Professor","stephen macmahon",NA
